ID,Typ cery,Wrażliwa,Główny problem,Poboczny problem,Wiek,Mycie,Serum na dzień,Krem na dzień,SPF,Serum na noc,Krem na noc,Punktowo,Maseczka,Peeling
11,Mieszana,1,Nadprodukcja sebum,Niedoskonałości,20,CeraVe Wygładzający Żel do Mycia,Revox Just Niacinamide 10%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,SVR Sebiaclear Hydra,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
12,Normalna,0,Podrażnienie,Suche skórki,20,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary Hyaluronic Acid 2% + B5,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Maść z witaminą A,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
13,Mieszana,1,Podrażnienie,Nadprodukcja sebum,24,ONLYBIO Face in Balance Pianka do twarzy adaptogenna enzymatyczna,Nacomi Next Lvl ceramidy 5%,FaceBoom Hydro Krem Nawilżająco-Kojący na Dzień i Noc,Garnier Ambre Solaire SPF 50,Paula's Choice - Calm - Repairing Serum - Łagodząco-Nawilżające Serum,BIELENDA Blue Matcha krem-żel,Brak,Maska Glinkowa Ziaja,The Ordinary AHA 30% + BHA 2% Peeling Solution
14,Tłusta,1,Niedoskonałości,Podrażnienie,24,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Sunewmed Essence+ Aktywator Pod Krem I Oczy,SunewMed+ Vitamin C,Brak,Sunewmed Essence+ Aktywator Pod Krem I Oczy,Nanili Professional T-Cream (Aktywny krem naprawczy),Naklejki na krostki z Selfie Project,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Miya myBEUTYpeeling Peeling Enzymatyczny
15,Mieszana,1,Niedoskonałości,Rozszerzone pory,25,Brak,Brak,Brak,La Roche-Posay Anthelios XL SPF50+,Brak,Brak,Pharmaceris T Sebo-Almond Peel krem z 10% kwasem migdałowym,Brak,Brak
16,Mieszana,1,Niedoskonałości,Rozszerzone pory;Szara cera,32,FaceBoom Oczyszczająca pianka do mycia twarzy,Faceboom Korygująco-rozjaśniające Serum Do Twarzy,FLUFF Superfood mleko do twarzy Liczi,Fluff Krem z Filtrem Wyrównujący Koloryt SPF52,Brak ,Brak ,Brak ,Brak ,FACEBOOM Seboom peeling kwasowy wygładzający
17,Normalna,1,Podrażnienie,Przebarwienia,21,Bielenda Fresh Juice Nawilżający micelarny żel do mycia twarzy z bioaktywną wodą cytrusową,Hellobody - cararise ,Hellobody aloelight ,Revox Just - krem przeciwsłoneczny do twarzy SPF50,Hellobody cocodream ,Hellobody aloenight,Brak,Brak,Brak
18,Mieszana,1,Niedoskonałości,Nadprodukcja sebum,23,CeraVe Oczyszczający Żel do Mycia ciała i twarzy,Nacomi Next Lvl ceramidy 5%,CeraVe Nawilżający Krem do Twarzy,brak,Miya BEAUTY.lab Serum z prebiotykami do skóry problematycznej,brak,Miya Cosmetics Beauty.Lab Serum z prebiotykami do skóry problematycznej,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
19,Tłusta,1,Niedoskonałości,Przebarwienia,24,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,Sunewmed Essence+ Aktywator Pod Krem I Oczy,SunewMed+ Vitamin C,Brak,Sunewmed Essence+ Aktywator Pod Krem I Oczy,Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Naklejki na krostki z Selfie Project,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Miya myBEUTYpeeling Peeling Enzymatyczny
20,Tłusta,1,Niedoskonałości,Przebarwienia,24,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,Sunewmed Essence+ Aktywator Pod Krem I Oczy,SunewMed+ Vitamin C,Brak,Sunewmed Essence+ Aktywator Pod Krem I Oczy,Yope Moon SPA krem do twarzy,Naklejki na krostki z Selfie Project,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Miya myBEUTYpeeling Peeling Enzymatyczny
