,ID,Typ cery,Wrażliwa,Główny problem,Poboczny problem,Wiek,Mycie,Serum na dzień,Krem na dzień,SPF,Serum na noc,Krem na noc,Punktowo,Maseczka,0,1,2,3
21,22,Normalna,0,Szara cera,Brak,18,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,CeraVe - nawilżający krem do twarzy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,CeraVe - nawilżający krem do twarzy,Brak,Mediheal NMF Aquaring Ampoule Mask EX,0.0,0.0,0.0,1.0
22,23,Sucha,1,Szara cera,Suche skórki,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,CETAPHIL MD DERMOPROTEKTOR,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,SVR Hydraliane,Maść z witaminą A,Biała glinka,0.0,1.0,0.0,0.0
23,24,Sucha,1,Widoczne naczynka,Brak,20,Żel Tołpa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe - nawilżający krem do twarzy,Uriage Roseliane SPF30 krem do cery naczynkowej,Brak,SVR Sensifine AR,Brak,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,0.0,1.0,0.0,0.0
24,25,Normalna,1,Widoczne naczynka,Brak,21,Nawilżająca emulsja do mycia dla skóry normalnej i suchej,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Uriage Roseliane SPF30 krem do cery naczynkowej,Brak,SVR Sensifine AR,Brak,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,0.0,0.0,1.0,0.0
25,26,Sucha,1,Widoczne naczynka,Brak,20,Żel Tołpa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe - nawilżający krem do twarzy,Uriage Roseliane SPF30 krem do cery naczynkowej,Brak,SVR Sensifine AR,Brak,Mediheal NMF Aquaring Ampoule Mask EX,0.0,1.0,0.0,0.0
26,27,Normalna,1,Widoczne naczynka,Suche skórki,21,Missha - Super Aqua Ultra Hyalron Cleansing Foam,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Uriage Roseliane SPF30 krem do cery naczynkowej,The Ordinary Hyaluronic Acid 2% + B5,SVR Sensifine AR,Brak,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,0.0,1.0,0.0,0.0
27,28,Tłusta,0,Nadprodukcja sebum,Niedoskonałości,21,CeraVe SA Wygładzający Żel do Mycia,Revox Just Niacinamide 10%,CeraVe - nawilżający krem do twarzy,SVR Sebiaclear,The Ordinary Więcej molekuł Niacinamide 10% + Zinc 1%,SVR Sebiaclear Hydra,Acnederm,Biała glinka,1.0,0.0,0.0,0.0
28,29,Mieszana,1,Nadprodukcja sebum,Niedoskonałości,20,CeraVe SA Wygładzający Żel do Mycia,Revox Just Niacinamide 10%,BANDI ANTI DRY,SVR Sebiaclear,The Ordinary Więcej molekuł Niacinamide 10% + Zinc 1%,SVR Sebiaclear Hydra,Acnederm,Biała glinka,1.0,0.0,0.0,0.0
29,30,Mieszana,1,Nadprodukcja sebum,Niedoskonałości,20,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Revox Just Niacinamide 10%,Cetaphil PRO Oil Control Krem nawilżająco-matujący,SVR Sebiaclear,The Ordinary Więcej molekuł Niacinamide 10% + Zinc 1%,Dermedic Melumin,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,1.0,0.0,0.0,0.0
30,31,Tłusta,0,Niedoskonałości,Przebarwienia,20,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil PRO Oil Control Krem nawilżająco-matujący,SVR Sebiaclear,The Ordinary Więcej molekuł Niacinamide 10% + Zinc 1%,Avene Cleanance Women,Acnederm,Biała glinka,1.0,0.0,0.0,0.0
31,32,Mieszana,0,Niedoskonałości,Podrażnienie,17,Cetaphil PRO Oil Control Pianka do mycia,Revox Just Niacinamide 10%,Cetaphil PRO Oil Control Krem nawilżająco-matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,BANDI ANTI DRY,Acnederm,Biała glinka,0.0,0.0,1.0,0.0
32,33,Tłusta,0,Niedoskonałości,Brak,20,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil PRO Oil Control Krem nawilżająco-matujący,SVR Sebiaclear,The Ordinary Więcej molekuł Niacinamide 10% + Zinc 1%,Avene Cleanance Women,Acnederm,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,1.0,0.0,0.0,0.0
33,34,Mieszana,0,Niedoskonałości,Podrażnienie,21,Cetaphil PRO Oil Control Pianka do mycia,Revox Just Niacinamide 10%,Cetaphil PRO Oil Control Krem nawilżająco-matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,BANDI ANTI DRY,Acnederm,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,0.0,0.0,1.0,0.0
34,35,Normalna,0,Podrażnienie,Brak,20,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,BANDI ANTI DRY,SUN CARE Krem-żel anti-spot SPF 50,The Ordinary Hyaluronic Acid 2% + B5,BANDI ANTI DRY,Brak,Mediheal NMF Aquaring Ampoule Mask EX,0.0,0.0,1.0,0.0
35,36,Mieszana,0,Podrażnienie,Suche skórki,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,BANDI ANTI DRY,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary Hyaluronic Acid 2% + B5,BANDI ANTI DRY,Brak,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,0.0,1.0,0.0,0.0
36,37,Mieszana,0,Podrażnienie,Brak,20,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,CeraVe - nawilżający krem do twarzy,SUN CARE Krem-żel anti-spot SPF 50,Brak,CeraVe - nawilżający krem do twarzy,Brak,Mediheal NMF Aquaring Ampoule Mask EX,0.0,1.0,0.0,0.0
37,38,Normalna,0,Podrażnienie,Suche skórki,20,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Nacomi Next Level Serum Ceramidy 5%,BANDI ANTI DRY,SUN CARE Krem-żel anti-spot SPF 50,The Ordinary Hyaluronic Acid 2% + B5,BANDI ANTI DRY,Maść z witaminą A,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,0.0,1.0,0.0,0.0
38,39,Mieszana,1,Podrażnienie,Suche skórki,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,BANDI ANTI DRY,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,BANDI ANTI DRY,Brak,Mediheal NMF Aquaring Ampoule Mask EX,0.0,1.0,0.0,0.0
39,40,Mieszana,0,Podrażnienie,Brak,24,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,CeraVe - nawilżający krem do twarzy,SUN CARE Krem-żel anti-spot SPF 50,Brak,CeraVe - nawilżający krem do twarzy,Brak,Mediheal NMF Aquaring Ampoule Mask EX,0.0,0.0,1.0,0.0
40,41,Tłusta,1,Niedoskonałości,Brak,17,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil PRO Oil Control Krem nawilżająco-matujący,SVR Sebiaclear,The Ordinary Więcej molekuł Niacinamide 10% + Zinc 1%,Dermedic Melumin,Acnederm,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,1.0,0.0,0.0,0.0
41,42,Sucha,1,Przebarwienia,Brak,20,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,BANDI ANTI DRY,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,Dermedic Melumin,Brak,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,0.0,1.0,0.0,0.0
42,43,Normalna,0,Przebarwienia,Brak,17,Nawilżająca emulsja do mycia dla skóry normalnej i suchej,MIYA Serum z witaminą C na przebarwienia,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,SVR Sebiaclear,Brak,Dermedic Melumin,Brak,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,0.0,0.0,0.0,1.0
43,44,Sucha,1,Przebarwienia,Brak,20,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,BANDI ANTI DRY,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,Dermedic Melumin,Brak,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,0.0,1.0,0.0,0.0
44,45,Normalna,0,Przebarwienia,Podrażnienie,17,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witaminą C na przebarwienia,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,SVR Sebiaclear,Brak,Dermedic Melumin,Brak,Mediheal NMF Aquaring Ampoule Mask EX,0.0,0.0,1.0,0.0
45,46,Tłusta,0,Rozszerzone pory,Brak,18,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil PRO Oil Control Krem nawilżająco-matujący,SVR Sebiaclear,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Avene Cleanance Women,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,0.0,0.0,0.0,1.0
46,47,Tłusta,0,Rozszerzone pory,Przebarwienia,18,BIELENDA CBD Cannabidiol,MIYA Serum z witaminą C na przebarwienia,Cetaphil PRO Oil Control Krem nawilżająco-matujący,SVR Sebiaclear,Brak,Avene Cleanance Women,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,0.0,0.0,0.0,1.0
47,48,Sucha,0,Suche skórki,Szara cera,24,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,CETAPHIL MD DERMOPROTEKTOR,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary Hyaluronic Acid 2% + B5,SVR Hydraliane,Brak,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,0.0,0.0,1.0,0.0
48,49,Normalna,0,Szara cera,Brak,18,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,CeraVe - nawilżający krem do twarzy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,CeraVe - nawilżający krem do twarzy,Brak,Mediheal NMF Aquaring Ampoule Mask EX,0.0,0.0,0.0,1.0
49,50,Sucha,1,Szara cera,Suche skórki,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,MIYA Serum z witaminą C na przebarwienia,CETAPHIL MD DERMOPROTEKTOR,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,SVR Hydraliane,Maść z witaminą A,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,0.0,1.0,0.0,0.0
50,51,Sucha,1,Widoczne naczynka,Brak,20,Żel Tołpa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe - nawilżający krem do twarzy,Uriage Roseliane SPF30 krem do cery naczynkowej,Brak,SVR Sensifine AR,Brak,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,0.0,1.0,0.0,0.0
51,52,Normalna,1,Niedoskonałości,Brak,21,Nawilżająca emulsja do mycia dla skóry normalnej i suchej,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Uriage Roseliane SPF30 krem do cery naczynkowej,Brak,SVR Sensifine AR,Acnederm,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,0.0,0.0,1.0,0.0
52,53,Sucha,1,Widoczne naczynka,Brak,20,Żel Tołpa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe - nawilżający krem do twarzy,Uriage Roseliane SPF30 krem do cery naczynkowej,Brak,SVR Sensifine AR,Maść z witaminą A,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,0.0,1.0,0.0,0.0
53,54,Normalna,1,Widoczne naczynka,Suche skórki,21,Missha - Super Aqua Ultra Hyalron Cleansing Foam,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Uriage Roseliane SPF30 krem do cery naczynkowej,The Ordinary Hyaluronic Acid 2% + B5,SVR Sensifine AR,Maść z witaminą A,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,0.0,1.0,0.0,0.0
54,55,Tłusta,1,Rozszerzone pory,Brak,18,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil PRO Oil Control Krem nawilżająco-matujący,SVR Sebiaclear,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Avene Cleanance Women,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,0.0,0.0,0.0,1.0
55,56,Tłusta,0,Rozszerzone pory,Brak,18,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil PRO Oil Control Krem nawilżająco-matujący,SVR Sebiaclear,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Avene Cleanance Women,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,0.0,0.0,0.0,1.0
56,57,Tłusta,0,Podrażnienie,Podrażnienie,24,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,CeraVe - nawilżający krem do twarzy,SUN CARE Krem-żel anti-spot SPF 50,Brak,CeraVe - nawilżający krem do twarzy,Brak,Mediheal NMF Aquaring Ampoule Mask EX,0.0,0.0,1.0,0.0
57,58,Tłusta,1,Niedoskonałości,Podrażnienie,17,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil PRO Oil Control Krem nawilżająco-matujący,SVR Sebiaclear,The Ordinary Więcej molekuł Niacinamide 10% + Zinc 1%,Dermedic Melumin,Acnederm,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,1.0,0.0,0.0,0.0
58,59,Sucha,1,Przebarwienia,Podrażnienie,20,BIELENDA CBD Cannabidiol,MIYA Serum z witaminą C na przebarwienia,BANDI ANTI DRY,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,Dermedic Melumin,Brak,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,0.0,1.0,0.0,0.0
59,60,Normalna,0,Przebarwienia,Podrażnienie,17,BIELENDA CBD Cannabidiol,MIYA Serum z witaminą C na przebarwienia,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,SVR Sebiaclear,Brak,Dermedic Melumin,Brak,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,0.0,0.0,0.0,1.0
60,61,Sucha,1,Przebarwienia,Podrażnienie,20,BIELENDA CBD Cannabidiol,MIYA Serum z witaminą C na przebarwienia,BANDI ANTI DRY,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,Dermedic Melumin,Brak,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,0.0,1.0,0.0,0.0
61,62,Normalna,0,Przebarwienia,Brak,17,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witaminą C na przebarwienia,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,SVR Sebiaclear,Brak,Dermedic Melumin,Brak,Mediheal NMF Aquaring Ampoule Mask EX,0.0,0.0,1.0,0.0
62,63,Tłusta,0,Rozszerzone pory,Brak,18,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil PRO Oil Control Krem nawilżająco-matujący,SVR Sebiaclear,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Avene Cleanance Women,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,0.0,0.0,0.0,1.0
63,64,Tłusta,0,Rozszerzone pory,Przebarwienia,18,BIELENDA CBD Cannabidiol,MIYA Serum z witaminą C na przebarwienia,Cetaphil PRO Oil Control Krem nawilżająco-matujący,SVR Sebiaclear,Brak,Avene Cleanance Women,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,0.0,0.0,0.0,1.0
64,65,Sucha,0,Suche skórki,Szara cera,24,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,CETAPHIL MD DERMOPROTEKTOR,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary Hyaluronic Acid 2% + B5,SVR Hydraliane,Brak,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,0.0,0.0,1.0,0.0
65,66,Normalna,0,Szara cera,Brak,18,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,CeraVe - nawilżający krem do twarzy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,CeraVe - nawilżający krem do twarzy,Brak,Mediheal NMF Aquaring Ampoule Mask EX,0.0,0.0,0.0,1.0
66,67,Sucha,0,Szara cera,Suche skórki,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,MIYA Serum z witaminą C na przebarwienia,CETAPHIL MD DERMOPROTEKTOR,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,SVR Hydraliane,Maść z witaminą A,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,0.0,1.0,0.0,0.0
