ID,Typ cery,Wrażliwa,Główny problem,Poboczny problem,Wiek,Mycie,Serum na dzień,Krem na dzień,SPF,Serum na noc,Krem na noc,Punktowo,Maseczka,Peeling
39,3,1,1,0,17,22,4,10,12,1,9,1,1,6
40,2,1,3,0,20,23,7,2,13,2,9,1,1,1
41,1,0,3,0,17,3,7,4,12,12,9,1,1,7
42,2,1,3,0,20,23,7,2,13,2,9,1,1,1
43,1,0,3,3,17,13,7,4,12,12,9,1,7,2
44,3,0,4,0,18,1,2,10,12,7,0,1,7,7
45,3,0,4,4,18,1,7,10,12,11,0,1,7,7
46,2,1,5,7,24,1,8,3,13,2,5,1,7,2
47,1,0,6,0,18,23,7,8,13,12,7,1,7,7
48,2,1,6,6,16,22,7,6,13,2,14,1,2,1
49,2,1,7,0,20,23,0,8,15,2,16,1,2,1
50,1,1,1,0,21,3,0,0,15,12,16,1,1,2
51,2,1,7,0,20,23,0,8,15,2,16,1,2,1
52,1,1,7,6,21,13,0,0,15,12,16,1,2,1
53,3,1,4,0,18,19,2,10,12,7,0,1,7,7
54,3,0,4,0,18,19,2,10,12,7,0,1,7,7
55,3,0,2,0,24,1,8,1,0,2,5,1,7,2
56,3,1,1,3,17,1,2,10,12,4,9,1,1,6
57,2,1,3,3,20,1,7,2,13,2,9,1,1,1
58,1,0,3,3,17,1,7,4,12,12,9,1,1,7
59,2,1,3,3,20,1,7,2,13,2,9,1,1,1
60,1,0,3,0,17,13,7,4,12,12,9,1,7,2
61,3,0,4,0,18,1,2,10,12,7,0,1,7,7
62,3,0,4,4,21,13,7,19,12,4,2,1,7,7
63,2,0,5,7,24,13,7,6,7,4,14,1,2,1
64,1,0,6,0,18,23,7,8,13,4,7,1,7,7
65,2,0,6,6,16,22,7,6,13,4,14,1,2,1
66,2,0,7,0,20,23,0,8,7,7,16,6,2,1
67,1,0,1,0,21,3,0,0,7,4,16,1,1,2
68,2,0,7,0,22,23,0,8,7,4,16,4,2,1
69,1,0,7,6,21,13,0,0,15,4,16,1,2,1
70,3,0,4,0,18,19,2,10,12,4,0,1,7,7
71,3,1,4,0,18,19,2,10,12,4,0,1,7,7
72,3,0,0,2,22,5,12,19,12,4,15,1,3,0
73,0,1,0,2,20,19,12,10,12,4,9,1,9,0
74,3,1,1,4,20,19,2,10,7,4,4,0,9,0
75,0,1,1,3,17,6,12,10,7,4,3,1,9,2
76,3,1,1,4,20,19,2,20,7,4,0,0,9,0
77,0,1,1,3,21,6,12,10,13,4,3,1,9,2
78,1,1,2,0,20,1,8,2,0,4,3,1,7,7
79,0,1,2,6,16,22,8,2,13,4,3,1,2,1
80,1,0,2,6,20,13,8,2,0,4,3,1,2,1
81,0,1,2,6,16,22,8,2,13,4,3,1,7,1
82,0,0,2,0,24,22,8,8,0,4,7,1,7,2
83,3,1,3,2,17,19,7,4,12,4,9,1,7,0
84,2,1,3,0,20,23,7,2,13,4,9,1,7,1
85,1,0,3,0,17,3,7,4,12,4,9,1,7,7
86,2,1,3,0,20,23,7,2,13,4,9,1,7,1
87,1,0,3,3,17,13,7,4,12,4,9,1,2,2
88,3,1,4,0,18,1,2,10,12,4,0,1,7,7
89,3,1,4,4,19,1,7,19,5,4,5,1,7,7
90,2,1,5,7,24,1,8,3,5,2,5,1,7,2
91,1,0,6,0,18,23,7,8,5,12,5,1,7,7
92,2,1,6,6,16,22,8,6,5,2,5,1,9,1
93,2,1,7,0,20,23,0,8,5,2,5,1,2,1
94,1,1,7,0,21,3,0,0,5,12,5,1,2,7
95,2,1,7,0,20,23,0,8,5,2,5,1,7,1
96,1,1,7,6,21,13,0,0,5,12,5,1,2,1
97,3,0,0,2,21,5,12,8,5,11,5,1,9,2
98,0,1,0,2,20,5,12,2,5,11,5,0,9,0
99,0,1,0,2,20,19,12,10,5,11,5,0,7,0
100,3,0,1,4,20,16,2,20,5,11,5,0,9,7
101,0,0,1,3,17,6,12,10,5,7,5,0,9,2
102,3,0,1,0,20,19,4,20,5,1,5,0,1,7
103,0,0,1,3,21,6,12,10,5,12,5,0,1,2
104,1,0,2,0,20,1,8,2,5,12,5,6,7,2
105,0,0,2,6,16,22,8,2,5,12,5,6,2,1
106,0,0,2,0,20,22,8,8,5,12,5,6,7,1
107,0,1,2,6,16,22,8,2,5,7,5,6,7,1
108,0,0,2,0,24,22,8,8,5,12,5,6,7,2
109,3,1,1,0,17,1,4,10,5,1,5,0,1,0
110,2,1,3,0,20,23,7,2,5,2,5,6,1,1
111,1,0,3,0,17,3,7,4,5,12,5,6,1,7
112,2,1,3,0,20,23,7,2,5,2,5,6,1,1
113,1,0,3,3,17,13,7,4,5,12,5,6,7,2
114,3,0,4,0,18,1,2,10,5,7,5,0,7,7
115,3,0,4,4,22,13,7,10,5,11,5,0,9,2
116,2,0,5,7,24,13,7,6,13,12,14,4,9,1
117,2,1,6,6,16,22,7,6,13,2,14,4,9,1
118,2,1,7,0,17,22,0,0,15,2,16,6,9,1
119,1,1,1,0,21,3,0,0,15,2,16,0,9,2
120,2,1,7,0,24,22,0,0,15,7,16,4,9,1
121,1,1,7,6,21,13,0,0,15,2,16,4,9,1
122,3,1,4,0,18,19,2,10,12,2,0,0,9,7
123,3,0,4,0,18,19,2,10,12,2,0,0,9,7
124,3,0,2,0,24,1,8,8,7,2,7,6,9,2
125,3,1,1,3,17,1,2,10,12,2,9,0,9,0
126,2,1,3,3,20,1,7,2,13,2,9,6,9,1
127,1,0,3,3,17,1,7,4,12,2,9,6,9,7
128,2,1,3,3,20,1,7,2,13,2,9,6,9,1
129,1,0,3,0,17,13,7,4,12,2,9,6,9,2
130,3,0,4,0,18,1,2,10,12,2,0,0,9,7
131,3,0,4,4,18,1,7,10,12,2,0,0,9,2
132,2,0,5,7,24,13,7,8,7,2,5,4,7,1
133,2,0,6,6,16,22,7,6,13,2,14,4,2,1
134,2,0,7,0,16,22,0,8,7,2,16,6,2,1
135,1,0,1,0,21,3,0,0,15,2,16,0,1,2
136,2,0,7,0,20,23,0,8,7,2,16,4,2,1
137,1,0,7,6,21,13,0,0,15,12,16,4,2,1
138,3,0,4,0,18,19,2,10,12,7,0,0,7,7
139,3,1,4,0,18,19,2,10,12,7,0,0,7,7
140,1,0,6,8,18,23,7,8,13,12,7,6,7,7
141,3,0,0,0,21,7,15,10,5,3,7,0,11,2
142,3,1,0,0,22,6,18,1,5,4,5,0,9,2
143,3,0,0,2,18,6,12,19,5,10,18,1,0,7
144,3,0,0,0,18,16,15,19,5,10,7,0,11,2
145,3,1,0,0,19,16,15,20,5,4,5,0,9,2
146,0,1,1,5,24,16,12,19,13,1,4,1,1,0
147,1,1,2,8,21,2,6,14,7,6,12,6,7,7
148,0,1,7,2,22,0,3,21,14,0,18,0,6,7
149,0,1,7,4,22,0,3,21,14,0,18,0,6,7
150,0,1,2,2,24,18,10,13,1,9,1,6,6,8
151,0,1,2,7,24,17,10,13,4,9,1,6,6,8
152,1,0,3,9,21,4,9,15,6,8,18,9,6,9
153,1,0,3,9,21,4,9,15,6,8,18,3,6,9
154,0,1,1,6,22,14,9,7,3,12,8,6,8,3
155,0,1,1,5,22,14,9,7,3,12,8,6,8,3
156,1,1,2,4,22,21,9,14,7,12,11,6,9,7
157,0,1,1,6,23,4,10,8,7,12,18,5,8,7
158,0,1,1,3,23,4,10,8,7,12,18,5,8,7
159,0,1,1,5,23,4,10,8,7,12,18,5,8,7
160,0,1,1,7,32,10,5,12,7,12,18,6,8,4
161,0,1,1,5,32,9,5,12,7,12,18,6,8,4
162,0,0,0,8,28,20,12,9,7,12,18,6,8,5
163,0,0,0,6,28,20,12,9,7,12,18,6,8,5
164,3,1,1,3,24,15,13,18,7,12,13,7,5,5
165,3,1,1,1,24,15,13,18,7,12,13,7,5,5
166,3,1,1,4,24,15,13,18,7,12,13,7,5,5
167,3,1,1,1,24,20,13,18,7,12,13,7,5,5
168,3,1,1,3,24,15,13,18,7,12,17,7,5,5
169,3,1,1,1,24,15,13,18,7,12,17,7,5,5
170,3,1,1,3,24,20,13,18,7,12,17,7,5,5
171,3,1,1,1,24,20,13,18,7,12,17,7,5,5
172,3,1,1,4,24,20,13,18,7,12,17,7,5,5
173,3,1,1,3,24,15,13,18,7,12,19,7,5,5
174,3,1,1,3,24,20,13,18,7,12,19,7,5,5
175,3,1,1,1,24,20,13,18,7,12,19,7,5,5
176,3,1,1,4,24,20,13,18,7,12,19,7,5,5
177,0,1,7,3,19,8,12,22,7,12,18,12,7,7
178,0,1,0,6,22,11,12,16,7,12,18,8,4,9
179,0,1,0,4,22,11,12,16,7,12,18,8,4,9
180,0,1,0,6,22,11,12,5,7,12,18,8,4,9
181,0,1,0,4,22,11,12,5,7,12,18,8,4,9
182,0,1,1,6,25,22,12,3,7,12,18,11,8,2
183,0,1,7,2,28,22,16,17,7,12,18,10,8,5
184,0,1,7,5,28,22,16,17,7,12,18,10,8,5
185,0,1,7,1,28,22,16,17,7,12,18,10,8,5
186,3,1,2,4,18,12,1,1,7,5,14,2,7,1
187,2,1,6,4,19,1,17,11,7,5,14,2,7,1
188,2,1,6,4,20,6,17,11,4,5,14,2,7,1
189,2,0,6,4,21,22,11,19,4,5,14,2,7,1
190,2,0,6,4,22,13,14,7,4,5,14,2,7,1
191,2,0,6,6,23,3,17,8,4,5,14,2,7,1
192,2,1,6,6,24,23,14,4,4,5,17,2,7,1
193,2,1,6,6,25,7,11,3,4,5,17,2,7,4
194,2,1,7,7,26,2,11,6,7,5,17,2,7,4
195,2,0,7,7,27,10,12,22,7,5,17,2,7,4
196,2,0,7,7,28,9,8,22,7,5,17,2,5,4
197,2,1,7,7,29,20,17,7,7,5,17,2,5,4
198,2,1,5,7,30,15,17,22,7,5,18,2,5,4
199,2,1,5,7,31,8,17,22,7,5,18,2,5,4
200,2,1,5,7,32,11,8,7,7,5,18,2,10,4
201,1,1,6,3,33,7,11,11,7,5,1,2,5,4
202,0,1,1,3,34,7,11,11,7,5,1,2,10,4
203,2,1,1,3,35,7,11,11,7,5,1,2,10,4
204,0,1,1,7,36,7,11,11,7,5,1,2,10,4
205,1,1,1,3,37,7,11,11,7,5,1,2,10,4
206,1,0,1,2,29,18,11,11,1,5,6,2,10,4
207,1,0,1,2,29,17,18,11,2,5,10,2,10,4
208,1,0,1,0,29,21,1,11,10,5,10,2,10,4
209,1,1,1,0,29,12,6,11,11,5,10,2,10,4
210,3,1,1,1,24,15,13,18,7,3,17,7,5,5
211,3,1,1,1,24,15,13,18,7,6,17,7,5,5
212,1,0,0,0,29,21,1,11,10,5,2,2,10,4
213,1,1,0,0,29,12,6,11,11,5,12,2,10,4
214,3,1,0,3,24,15,13,18,7,3,2,7,5,5
215,3,1,0,3,24,15,13,18,7,6,11,7,5,5
216,1,0,0,0,29,21,1,11,10,5,2,9,10,4
217,1,1,0,0,29,12,6,11,11,5,12,9,10,4
218,3,1,0,3,24,15,13,18,7,3,2,3,5,5
219,3,1,0,3,24,15,13,18,7,6,11,3,5,5
220,1,0,1,2,29,17,18,11,2,5,10,12,10,4
221,1,0,1,0,29,21,1,11,10,5,10,12,10,4
222,1,1,1,0,29,12,6,11,11,5,10,11,10,4
223,3,1,1,1,24,15,13,18,7,3,17,11,5,5
224,3,0,1,1,32,15,13,18,8,3,17,11,0,5
225,3,1,1,1,33,15,13,18,9,3,17,11,9,5
