ID,Typ cery,Wra¿liwa,G³ówny problem,Poboczny problem,Wiek,Mycie,Serum na dzieñ,Krem na dzieñ,SPF,Serum na noc,Krem na noc,Punktowo,Maseczka,Peeling
11,Normalna,0,Podra¿nienie,Suche skórki,20,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Nacomi Next Level Serum Ceramidy 5%,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,Floslek SUN CARE Krem-¿el anti-spot SPF 50,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
12,Mieszana,1,Podra¿nienie,Suche skórki,16,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
13,Mieszana,0,Podra¿nienie,Brak,24,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,Floslek SUN CARE Krem-¿el anti-spot SPF 50,Brak,CeraVe Nawil¿aj¹cy Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,Brak
14,T³usta,1,Przebarwienia,Niedoskona³oœci,17,Pharmaceris T Puri-Sebogel - antybakteryjny ¿el myj¹cy do twarzy,MIYA Serum z witamin¹ C na przebarwienia,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,SVR Sebiaclear Creme SPF 50,Brak,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI ACNE antytr¹dzikowy peeling kwasowy do twarzy
15,Sucha,1,Przebarwienia,Brak,20,¯el To³pa Dermo Face Physio,MIYA Serum z witamin¹ C na przebarwienia,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
16,Normalna,0,Przebarwienia,Brak,17,CeraVe Nawil¿aj¹ca emulsja do mycia dla skóry normalnej i suchej,MIYA Serum z witamin¹ C na przebarwienia,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,SVR Sebiaclear Creme SPF 50,Brak,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,TO£PA DERMO FACE SEBIO peeling 3 enzymy
17,Sucha,1,Przebarwienia,Brak,20,¯el To³pa Dermo Face Physio,MIYA Serum z witamin¹ C na przebarwienia,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
18,Normalna,0,Przebarwienia,Podra¿nienie,17,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witamin¹ C na przebarwienia,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,SVR Sebiaclear Creme SPF 50,Brak,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,Brak
19,T³usta,1,Rozszerzone pory,Brak,18,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,SVR Sebiaclear Creme SPF 50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,TO£PA DERMO FACE SEBIO peeling 3 enzymy
20,T³usta,1,Rozszerzone pory,Przebarwienia,18,BIELENDA CBD Cannabidiol,MIYA Serum z witamin¹ C na przebarwienia,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,SVR Sebiaclear Creme SPF 50,Brak,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,TO£PA DERMO FACE SEBIO peeling 3 enzymy
21,Sucha,0,Suche skórki,Szara cera,24,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witamin¹ C na przebarwienia,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,Revox Just Daily Sun Krem przeciws³oneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,SVR Hydraliane,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
22,Normalna,0,Szara cera,Brak,18,¯el To³pa Dermo Face Physio,MIYA Serum z witamin¹ C na przebarwienia,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,CeraVe Nawil¿aj¹cy Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,TO£PA DERMO FACE SEBIO peeling 3 enzymy
23,Sucha,1,Szara cera,Suche skórki,16,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,SVR Hydraliane,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
24,Sucha,1,Widoczne naczynka,Brak,20,¯el To³pa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,Uriage Roseliane SPF30 krem do cery naczynkowej,Brak,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
25,Normalna,1,Widoczne naczynka,Brak,21,CeraVe Nawil¿aj¹ca emulsja do mycia dla skóry normalnej i suchej,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,Uriage Roseliane SPF30 krem do cery naczynkowej,Brak,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,Brak
26,Sucha,1,Widoczne naczynka,Brak,20,¯el To³pa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,Uriage Roseliane SPF30 krem do cery naczynkowej,Brak,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
27,Normalna,1,Widoczne naczynka,Suche skórki,21,Missha - Super Aqua Ultra Hyalron Cleansing Foam,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,Uriage Roseliane SPF30 krem do cery naczynkowej,The Ordinary Hyaluronic Acid 2% + B5,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
28,T³usta,0,Nadprodukcja sebum,Niedoskona³oœci,21,CeraVe Wyg³adzaj¹cy ¯el do Mycia,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witamin¹ B3 i Cynkiem,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,Floslek SUN CARE Krem-¿el anti-spot SPF 50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witamin¹ B3 i Cynkiem,CeraVe Nawil¿aj¹cy Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Professional SupremeLAB Microbiome Ratunkowa Maseczka,BANDI ANTI ACNE antytr¹dzikowy peeling kwasowy do twarzy
29,Mieszana,1,Nadprodukcja sebum,Niedoskona³oœci,20,CeraVe Wyg³adzaj¹cy ¯el do Mycia,Revox Just Niacinamide 10%,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,SVR Sebiaclear Creme SPF 50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witamin¹ B3 i Cynkiem,SVR Sebiaclear Hydra,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytr¹dzikowy peeling kwasowy do twarzy
30,Mieszana,1,Nadprodukcja sebum,Niedoskona³oœci,20,Pharmaceris T Puri-Sebogel - antybakteryjny ¿el myj¹cy do twarzy,Revox Just Niacinamide 10%,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,SVR Sebiaclear Creme SPF 50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witamin¹ B3 i Cynkiem,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI ACNE antytr¹dzikowy peeling kwasowy do twarzy
31,T³usta,0,Niedoskona³oœci,Przebarwienia,20,Neutrogena Visibly Clear Clear & Defend Facial Wash,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,SVR Sebiaclear Creme SPF 50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witamin¹ B3 i Cynkiem,Avene Cleanance Women,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytr¹dzikowy peeling kwasowy do twarzy
32,Mieszana,0,Niedoskona³oœci,Podra¿nienie,17,Cetaphil - Pro Oil Control - Oczyszczaj¹ca Pianka do Mycia Skóry T³ustej i Mieszanej ,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,Brak
33,T³usta,0,Niedoskona³oœci,Brak,20,Pharmaceris T Puri-Sebogel - antybakteryjny ¿el myj¹cy do twarzy,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,SVR Sebiaclear Creme SPF 50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witamin¹ B3 i Cynkiem,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Benton Goodbye Redness Centella £agodz¹ca Maska w P³acie,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin
34,Mieszana,0,Niedoskona³oœci,Podra¿nienie,21,Cetaphil - Pro Oil Control - Oczyszczaj¹ca Pianka do Mycia Skóry T³ustej i Mieszanej ,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Benton Goodbye Redness Centella £agodz¹ca Maska w P³acie,Brak
35,Normalna,0,Podra¿nienie,Brak,20,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Floslek SUN CARE Krem-¿el anti-spot SPF 50,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,Brak
36,Mieszana,0,Podra¿nienie,Suche skórki,16,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
37,Mieszana,0,Podra¿nienie,Brak,20,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawil¿aj¹cy Krem do Twarzy,Floslek SUN CARE Krem-¿el anti-spot SPF 50,Brak,CeraVe Nawil¿aj¹cy Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
38,Normalna,0,Podra¿nienie,Suche skórki,20,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Floslek SUN CARE Krem-¿el anti-spot SPF 50,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
39,Mieszana,1,Podra¿nienie,Suche skórki,16,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
40,Mieszana,0,Podra¿nienie,Brak,24,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawil¿aj¹cy Krem do Twarzy,Floslek SUN CARE Krem-¿el anti-spot SPF 50,Brak,CeraVe Nawil¿aj¹cy Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,Brak
41,T³usta,1,Niedoskona³oœci,Brak,17,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,SVR Sebiaclear Creme SPF 50,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Benton Goodbye Redness Centella £agodz¹ca Maska w P³acie,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin
42,Sucha,1,Przebarwienia,Brak,20,¯el To³pa Dermo Face Physio,MIYA Serum z witamin¹ C na przebarwienia,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Benton Goodbye Redness Centella £agodz¹ca Maska w P³acie,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
43,Normalna,0,Przebarwienia,Brak,17,CeraVe Nawil¿aj¹ca emulsja do mycia dla skóry normalnej i suchej,MIYA Serum z witamin¹ C na przebarwienia,Bielenda Professional SupremeLAB Energetyzuj¹co-Nawil¿aj¹cy Krem z Witamin¹ C,SVR Sebiaclear Creme SPF 50,Brak,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Benton Goodbye Redness Centella £agodz¹ca Maska w P³acie,TO£PA DERMO FACE SEBIO peeling 3 enzymy
44,Sucha,1,Przebarwienia,Brak,20,¯el To³pa Dermo Face Physio,MIYA Serum z witamin¹ C na przebarwienia,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Benton Goodbye Redness Centella £agodz¹ca Maska w P³acie,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
45,Normalna,0,Przebarwienia,Podra¿nienie,17,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witamin¹ C na przebarwienia,Bielenda Professional SupremeLAB Energetyzuj¹co-Nawil¿aj¹cy Krem z Witamin¹ C,SVR Sebiaclear Creme SPF 50,Brak,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,Brak
